,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
2252,Sarah Warren,Newfoundland and Labrador,Athlete,Table Tennis,15,165,47,Dorset Collegiate,Mark Warren,,,,"My goals for the games are to meet new people from the other teams, and to compete to the best of my ability. It will also be interesting to see the sport at such a high playing level.",Gold in 2018 Atlantic Championships in Under 18 Female Singles.,"To list some of my accomplishments, I will begin with the Atlantic Championships. I won team silver at the Atlantic Table Tennis Championships, gold in the under 21 female singles division, gold in u18 girls singles, gold in u15 girls singles, gold in girls u15 doubles in the individual event, gold in the girls u18 doubles in the individual event. I have also won team gold at the 2018 Newfoundland and Labrador Winter Games. Along with this, my high school team has won the Newfoundland and Labrador SSNL Provincial Championships 4 years in a row.",My personal role model is my older sister Brianna Warren.,I got involved in the sport because my father and my older sister encouraged me to play at a young age. They have been very successful in the sport as well.,,0,0,0,0
2253,Scout Watkins Southward,Ontario,Athlete,Hockey,17,168,68,Kingston JR's (intermediate AA),Troy Sweet,forward,,,"I want to be an ambassador for my team, for the OWHA and for the province of Ontario. I want to make new friends and enjoy the experience with all of the other incredible players on the team. As well, I hope to grow as a person and as a player as a result of this amazing opportunity and the coach's expertise. My goal is to work hard, do the best I possibly can and have fun.","Gold Medal, U16 Summer games
Being Assistant Captain and then Captain of my PWHL hockey team, which I consider an honour and a privilege.","2018: Comunity Athlete Award for outstanding contribution to my school and my community through sport
2017, 2018: Duke of Edinburgh Bronze and Silver Medals for volunteerism, athletics and skill developement.
Ontario Honour Roll 2016, 2017, 2018","My personal role models are my parents because of the values, support and love they have given me, Bobby Orr because of his heart and passion for hockey and the way he has paid foward what hockey gave him. Closer to home, I look up to Hana Bunton, a former PWHL and team Canada player, for the way she has overcome challenges, and for her grit and determination to succeed at life and at hockey. Her passion to be a coach and help others get better inspires me.",I got involved in hockey because my parents put me in skates before I could even walk (almost!) and I loved it! It became a passion and I've known since I was 6 years old that playing hockey is something I'll always do. I started playing organized hockey with the Kingston Ice Wolves in 2006. My whole family loves hockey and both my sisters and I have always played.,,0,0,0,0
2254,Brooklyn Sheila Marie Watkins,Newfoundland and Labrador,Athlete,Figure Skating,14,164.5,52,Seaport Skaters SC,Kara Watkins,,,,To score a personal best.,"Pattern Dance - 13.73
Free Dance - 28.25",2018 NL Sectionals - Best Unison Dance Team,Tessa Virtue & Scott Moir,,,0,0,0,0
2255,Dustin Watson,Ontario,Athlete,Archery,14,170,53,"TAS Archery Club, TAS Curling Team",,,n/a,n/a,"have fun, make it on the podium, meet new people, make new friends",289/300 inner 10,"Honour roll in School
I won:
1st at IFAA, and WA Provincials indoors
2nd at Canadian indoor Nationals
1st and 2nd at Canadian outdoor nationals
I hold 13 provincial records",Chris Perkins,"I got involved from watching my two older sisters shoot when I was at a young age, my dad has also bow hunted his whole life",,0,0,0,0
2256,Alex Watters,Nova Scotia,Athlete,Gymnastics,18,175,72.6,Halifax ALTA Gymnastics Club,David Kikuchi,,,,Hit as many routines as cleanly as I possibly can like I’ve been working on in training,Placing 1st all-around as a junior at Elite Canada in 2017.,Male Team Athlete of the Year in 2018,,My parents put me in gymnastics when I was around 3 because I was very active and would climb everything,,0,0,0,0
2257,Brennan Connor Webb,New Brunswick,Athlete,Figure Skating,12,147,36.8,Mariposa Moncton Skating Club,Robert Leger and Joanne White,,,,Personal Best,,,Elvis Stojko,"I was influenced by all of the skaters in the 2014 Sochi Olympics.
It was then that I knew I wanted to, eventually, be an elite skater.",,0,0,0,0
2258,Dakota Florence Webb,British Columbia,Athlete,Judo,15,165,76.6,,,,,,"To participate with the best in Canada, learn, and to meet new people. Also, to win some fights!",Bronze @ Edmonton International,,My dad,"I originally wanted to start wrestling, but there was no wrestling available, so my dad suggested I try judo instead, and the rest is history!",,0,1,0,1
2259,Abby Webster,Northwest Territories,Athlete,Hockey,18,177,77,Olds College Broncos,Chris Leeming,Forward,,,To play my best and have fun.,Playing college hockey,"Team of the year - 2016 Arctic winter games female hockey
Randy McBride scholarship
Tower Wealth Scholarship",My mom,Parents tied some skates to my feet and threw me on the ice,,0,0,0,0
2260,Lily Weidemann,Ontario,Athlete,Speed Skating,19,164.5,54,,,,,,Finish top ten within my distances. Have fun. Experience the incredible atmosphere that accompanies the games.,,"Female Athlete of the Year (2015, 2017)",My older siblings Isabelle and Jake Weidemann,We started speed skating as a family when I was six years old after watching it at the Olympics.,,0,0,0,0
2261,Nathan Gordon Weiman,Saskatchewan,Athlete,Cross Country Skiing,17,182.5,74,Regina Ski Team,Phyllis Bend,,,,Just send it!,,,Aron Bargen because he lives in the bush...,,,0,0,0,0
2262,Ben Weingust,Ontario,Athlete,Alpine Skiing,14,5'5,57 kg,,,,,,To do the best i can possibly do.,,Medals from past races.,My coach Jeff Thompson.,I started skiing with my parents at a young age.,,0,0,0,0
2263,Makenna Weir,Saskatchewan,Athlete,Biathlon,19,170,,,,,,,,,,,,,0,0,0,0
2264,Rachel Weiss,Alberta,Athlete,Hockey,18,170,60,Pursuit of Excellence,Kris Hogg,forward,@rachelweiss_19,@rachelweiss_19,To bring home a medal and create lifelong memories with the people there.,5th place at Nationals with Team Alberta,"Game 1 MVP vs Quebec at 2017 Nationals
U18 Team Canada Invite","Jess Campbell, She is one of my coaches at POE and has so much knowledge and experience to offer through her own experiences at POE, Cornell University, and with Team Canada. She is so caring and has guided/helped me throughout my hockey and life the last couple years.","I begged my parents to play for years until they finally caved, and let me start playing organized hockey in grade 6. I had to make a list of a bunch of things I would do if they let me... I also had some friends who played, and being competitive, I wanted to do what they were doing. I also thought it was the most fun sport to possibly play and have always loved all sports.",,1,0,0,1
2265,Izzy Weist,Newfoundland and Labrador,Athlete,Hockey,17,175,67,RNS Prep Girls Hockey,,Forward,,,,,,Natalie Spooner,,,0,0,0,0
2266,Kate Weldon,New Brunswick,Athlete,Artistic Swimming,15,,,,,,,,,,,,,,0,0,0,0
2267,Chantel Weller,Saskatchewan,Athlete,Hockey,16,170 cm,63 kg,Regina Rebels,Mike Merk,Goalie,,,To do my best for team Saskatchewan and hopefully give me an opportunity to further my career in hockey.,I made it through all the tryouts to play on Team Saskatchewan for this event.,2017/2018 2nd line all star in the SFMAAAHL,My dad who is also a goalie and who has always motivated me to do my best,My dad and 2 sisters play hockey and I wanted to play.,,0,0,0,0
2268,Chase Wellon,Newfoundland and Labrador,Athlete,Hockey,15,173,71,,,,,,,,,,,,0,0,0,0
2269,Sam Wellon,Newfoundland and Labrador,Athlete,Judo,14,175 cm,73Kg,Sosei judo (Gander),Chris Wellon,Athlete,,,Do the best I can and have fun.,,,,,,0,0,0,0
2270,Alex Wells,Newfoundland and Labrador,Athlete,Wheelchair Basketball,16,182,104,WSANL,Todd Hickey,Forward,@axlewheels,@axlewheels,"To play at my best, meet new people, and bring home a medal",hitting a 3-point shot,,Patrick Anderson and Liam Hickey,Tried it and loved it.,,0,0,0,0
2271,Elizabeth Evelyn C Welsh,Nova Scotia,Athlete,Ringette,20,168,,,Tracy Tulloch,Goalie,,,,,,,"I went to a neurologist at six years old for chronic headaches and while treating me he told me about ringette and how it was the right sport for ""smart girls""",,0,0,0,0
2272,Zach Welsh,Nova Scotia,Athlete,Hockey,15,186,182,Halifax Macs Major Midget,Tim Boyce,defense,@Zwelsh20,@Zwelsh20,"Represent my Province of N.S. well and work hard. As a small province, to do better than the last Canada Winter Games hockey team (5th place) and win a medal at the Canada Winter Games in Red Deer, Alberta.","Winning hockey Provincial Championship, 2014","Play-off MVP, Provincial Championship (hockey), 2014","My Mom & Dad. They are always there for me. Whether its school, sports or life lessons.","We are a hockey family. I have two older brothers who play in the QMHJL, Nicholas Welsh (Shawinigan & Moncton, 2013-2018), now playing CIS hockey for SMU, & Matthew Welsh (Charlottetown, 2015-present). My parents are athletes and both attended the Canada Winter Games in 1987, Sydney, NS. As well, My brother Mathew was on Team N.S. hockey at the Canada Winter Games, Prince George, BC.",,0,0,0,0
2273,Fidel Wendt,Prince Edward Island,Athlete,Cross Country Skiing,14,160,39,,Judy Hale,,,,to do my best and have fun,,,,,,0,0,0,0
2274,Zora Wendt,Prince Edward Island,Athlete,Biathlon,17,171,61,,Judy Hale,,,,"To have fun, meet new people, and do my best.",,,,I got involved because I liked skiing at home and wanted to ski with others.,,0,0,0,0
2275,Zora Wendt,Prince Edward Island,Athlete,Cross Country Skiing,17,171,135,,Judy Hale,,,,,,,,,,0,0,0,0
2276,Cleo Wermann-Thorn,Manitoba,Athlete,Archery,14,152,47,,,,,,to do my best and learn from other coaches and athletes.,541,"1st place at Manitoba Open, 1st place Indoor Provincials, 2nd place Indoor Provincials twice",,"My family and I decided to try out archery and I really liked it, so my parents signed me yup for beginner classes, and I continued on from there.",,0,0,0,0
2277,Kiera Westlake,Alberta,Athlete,Judo,16,165,57,Lethbridge Kyodokan Judo Club,Russ Gallant,,,,To win!,See above,Most Outstanding u16 Judo Canada Athlete,Kaillie Humphreys,When I was 5 years old I wanted to be enrolled in dance but my dad said no and signed me up for judo insyead,,2,0,0,2
2278,Marcus Jeremy Wheaton,New Brunswick,Athlete,Judo,17,,~114,,,,N/A,N/A,"I hope to win a medal (preferably the gold shiny one) and just have fun. Once I’m through the competition days I’m going to eat all the food! Well, give it my best shot.","I’m proud of winning Bronze at nationals and placing first at easterns (both u18).
Making it to the games is quite the achievement itself too! I’m glad I’ve earned my spot on the team.",None that I can think of currently. I do have plenty of participation ribbons I can show off.,Not any specific person. I take a look at the best from everyone I know and have that as the person I can try to be.,I tried judo in my last year of elementary school and have stuck with it ever since. Parents wanted me involved in something and I grew to enjoy Judo.,,0,0,0,0
2279,Maddi Wheeler,Ontario,Athlete,Hockey,16,163,64,,Bruce Macdonald,,,,Win gold and have fun while traveling across canada,Gold Medal- IIHF U18 WWC,"Gold Medal- IIHF U18 WWC
Superintendent Award- Academic and Athletic Excellence",My brother,"When I was younger, my brother also played hockey so I just ended up following in his foot steps",,0,0,0,0
2280,Marla Wheeler,Alberta,Athlete,Ringette,18,173,63,Calgary AA - U19AA Rush,,Defense,,,To work together as a team and give it our all. Enjoy the experience and proudly represent Alberta and come out with a medal!,,,Shaundra Bruvall and Rachel Ung,My parents told me I couldn't sit on the couch all winter in Grade 1 and they gave me a list of sports to choose from. Ringette sounded interesting so I tried it out and haven't looked back since!,,0,0,0,0
2281,Deanne Whenham,Northwest Territories,Athlete,Hockey,18,,,Lindenwood-Belleville Lynx,Katherine Hannah,Defence,,,"My goals for the 2019 Canada Games include:
- Being in the now and helping to mentor our younger players
- Embrace the moment and be competitive
- Continue to build my skills and have fun",,"2018 Sport North - Junior Female Athlete of the Year
2017 Aboriginal Sports Circle (ASC) NWT - Sport Award Recipient
2016 Sport North - Team of the Year Award","I have enjoyed having many opportunities to meet players from Canada's National program
through participating at Wickfest and through different hockey camps and schools while growing up.
Meeting Haley Wickenheiser was amazing and I currently really like the way Sarah Nurse and Bridget Lacquet
play the game.","Began playing Ringette when I was 6 and moved back to Yellowknife when I was 10.
There was no Ringette in Yellowknife so I took up hockey as a sport
and enjoyed playing the game.",,0,0,0,0
2282,Hunter Chad White,Newfoundland and Labrador,Athlete,Squash,16,,,,,,HunterWhite31,HunterWhite31,,,,,,,0,0,0,0
